expname blocknr subjectnr cond item pagenr code code2 ffdur ffqual ffbck ffin ffout rpdur rpqual rpcnt rpsacc rpout tgdur tgqual tgcnt tgsacc tgout gdur gqual gcnt gsacc gbck gout totfixdur totfixcnt NumFixQualNot0 totfixQual0dur totfixQual0cnt
eye 11 9 EEN_MIS_MATCH 002 9 5 0 232 0 0 24 44 798 0 4 72 24 798 0 4 72 24 798 0 4 72 2 24 726 4 0 726 4
eye 11 9 EEN_MIS_MATCH 002 9 6 0 198 0 2 24 18 198 0 1 0 18 198 0 1 0 18 198 0 1 0 2 18 198 1 0 198 1
eye 11 9 EEN_MIS_MATCH 002 9 8 0 168 0 0 18 16 736 0 3 36 22 736 0 3 36 22 736 0 3 36 2 22 700 3 0 700 3
eye 11 9 EEN_MIS_MATCH 002 9 9 0 280 0 0 22 22 638 0 3 70 48 526 0 2 22 48 526 0 2 22 1 48 504 2 0 504 2
eye 11 9 EEN_MATCH_MATCH 005 10 1 0 244 0 0 0 20 800 0 4 56 24 800 0 4 56 24 800 0 4 56 2 24 908 5 0 908 5
eye 11 9 EEN_MATCH_MATCH 005 10 2 0 650 0 2 24 20 650 0 1 0 20 650 0 1 0 20 650 0 1 0 2 20 850 2 0 850 2
eye 11 9 EEN_MATCH_MATCH 005 10 3 0 162 0 0 20 16 426 0 2 16 22 426 0 2 16 22 426 0 2 16 2 22 586 3 0 586 3
eye 11 9 EEN_MATCH_MATCH 005 10 4 0 218 2 0 22 148 2288 2 9 342 20 1830 2 7 260 20 980 2 4 186 1 34 1842 8 2 1508 6
eye 11 9 EEN_MATCH_MATCH 005 10 5 0 200 0 0 20 24 434 0 2 24 22 434 0 2 24 22 434 0 2 24 2 22 410 2 0 410 2
eye 11 9 EEN_MATCH_MATCH 005 10 6 0 200 0 2 22 18 200 0 1 0 18 200 0 1 0 18 200 0 1 0 2 18 200 1 0 200 1
eye 11 9 EEN_MATCH_MATCH 005 10 8 0 278 0 0 18 24 488 0 2 24 22 488 0 2 24 22 488 0 2 24 2 22 464 2 0 464 2
eye 11 9 EEN_MATCH_MATCH 005 10 9 0 206 0 1 22 60 746 0 3 104 60 206 0 1 0 60 206 0 1 0 1 60 206 1 0 206 1
eye 11 9 GEEN_MIS_MIS 024 11 1 0 28 0 0 0 14 470 0 3 28 20 470 0 3 28 20 470 0 3 28 2 20 442 3 0 442 3
eye 11 9 GEEN_MIS_MIS 024 11 2 0 226 0 2 20 16 226 0 1 0 16 226 0 1 0 16 226 0 1 0 2 16 226 1 0 226 1
eye 11 9 GEEN_MIS_MIS 024 11 3 0 192 0 0 16 18 888 0 4 60 22 888 0 4 60 22 888 0 4 60 2 22 1264 7 0 1264 7
eye 11 9 GEEN_MIS_MIS 024 11 4 0 192 2 0 22 128 1648 2 5 194 64 1648 2 5 194 64 1648 2 5 194 2 64 1728 6 2 1374 4
eye 11 9 GEEN_MIS_MIS 024 11 5 0 236 0 1 64 54 1140 0 4 132 18 754 0 3 20 18 236 0 1 0 1 54 734 3 0 734 3
eye 11 9 GEEN_MIS_MIS 024 11 6 0 290 0 0 18 18 642 0 2 18 18 642 0 2 18 18 642 0 2 18 2 18 624 2 0 624 2
eye 11 9 GEEN_MIS_MIS 024 11 8 0 186 0 0 18 18 394 0 2 18 22 394 0 2 18 22 394 0 2 18 2 22 376 2 0 376 2
eye 11 9 GEEN_MIS_MIS 024 11 9 0 246 0 1 22 44 1256 0 6 158 40 678 0 3 16 44 246 0 1 0 1 44 662 3 0 662 3
eye 11 9 GEEN_MIS_MIS 016 12 1 0 40 0 0 0 12 458 0 3 26 20 458 0 3 26 20 458 0 3 26 2 20 552 4 0 552 4
eye 11 9 GEEN_MIS_MIS 016 12 2 0 208 0 2 20 20 208 0 1 0 20 208 0 1 0 20 208 0 1 0 2 20 208 1 0 208 1
eye 11 9 GEEN_MIS_MIS 016 12 3 0 172 0 0 20 14 398 0 2 14 26 398 0 2 14 26 398 0 2 14 2 26 384 2 0 384 2
eye 11 9 GEEN_MIS_MIS 016 12 4 0 256 0 0 26 10 416 0 2 10 46 416 0 2 10 46 416 0 2 10 2 46 406 2 0 406 2
eye 11 9 GEEN_MIS_MIS 016 12 5 0 274 0 2 46 22 274 0 1 0 22 274 0 1 0 22 274 0 1 0 2 22 274 1 0 274 1
eye 11 9 GEEN_MIS_MIS 016 12 6 0 192 0 2 22 20 192 0 1 0 20 192 0 1 0 20 192 0 1 0 2 20 518 2 0 518 2
eye 11 9 GEEN_MIS_MIS 016 12 8 0 284 0 0 20 20 880 0 3 42 22 880 0 3 42 22 880 0 3 42 2 22 838 3 0 838 3
eye 11 9 GEEN_MIS_MIS 016 12 9 0 170 0 1 22 48 682 0 3 66 48 170 0 1 0 48 170 0 1 0 1 48 170 1 0 170 1
eye 11 9 GEEN_MIS_MATCH 006 13 1 0 236 0 0 0 16 662 6 3 34 138 662 6 3 34 138 662 6 3 34 2 138 628 3 1 396 2
eye 11 9 GEEN_MIS_MATCH 006 13 2 0 158 1 2 138 20 158 3 1 0 20 158 3 1 0 20 158 3 1 0 2 20 158 1 1 0 0
eye 11 9 GEEN_MIS_MATCH 006 13 3 0 360 0 2 20 30 360 0 1 0 30 360 0 1 0 30 360 0 1 0 2 30 960 4 0 960 4
eye 11 9 GEEN_MIS_MATCH 006 13 4 0 250 0 0 30 22 1210 2 5 222 64 1210 2 5 222 64 1210 2 5 222 2 64 1786 10 2 1400 8
eye 11 9 GEEN_MIS_MATCH 006 13 5 0 152 0 0 64 12 578 0 3 34 22 578 0 3 34 22 578 0 3 34 2 22 716 4 0 716 4
eye 11 9 GEEN_MIS_MATCH 006 13 6 0 270 0 2 22 18 270 0 1 0 18 270 0 1 0 18 270 0 1 0 2 18 270 1 0 270 1
eye 11 9 GEEN_MIS_MATCH 006 13 8 0 194 0 0 18 18 628 0 3 36 20 628 0 3 36 20 628 0 3 36 2 20 592 3 0 592 3
eye 11 9 GEEN_MIS_MATCH 006 13 9 0 176 0 0 20 12 2210 0 11 262 18 390 0 2 12 18 390 0 2 12 1 18 378 2 0 378 2
eye 11 9 GEEN_MIS_MIS 008 14 1 0 330 0 0 0 18 700 0 3 30 20 700 0 3 30 20 700 0 3 30 2 20 890 5 0 890 5
eye 11 9 GEEN_MIS_MIS 008 14 2 0 176 0 0 20 16 370 0 2 16 18 370 0 2 16 18 370 0 2 16 2 18 552 3 0 552 3
eye 11 9 GEEN_MIS_MIS 008 14 3 0 194 0 0 18 16 1824 0 7 106 48 1588 0 6 68 22 1022 0 4 52 1 16 1520 6 0 1520 6
eye 11 9 GEEN_MIS_MIS 008 14 5 0 336 0 2 48 22 336 0 1 0 22 336 0 1 0 22 336 0 1 0 2 22 336 1 0 336 1
eye 11 9 GEEN_MIS_MIS 008 14 6 0 212 0 2 22 16 212 0 1 0 16 212 0 1 0 16 212 0 1 0 2 16 492 2 0 492 2
eye 11 9 GEEN_MIS_MIS 008 14 8 0 188 0 0 16 18 1044 0 5 84 22 720 0 4 40 22 256 0 2 18 1 22 680 4 0 680 4
eye 11 9 GEEN_MIS_MIS 008 14 9 0 292 0 0 22 18 1022 0 5 118 60 728 0 3 44 60 728 0 3 44 1 60 684 3 0 684 3
eye 11 9 GEEN_MATCH_MATCH 017 15 1 0 82 0 0 0 14 468 0 3 24 22 468 0 3 24 22 468 0 3 24 2 22 758 4 0 758 4
eye 11 9 GEEN_MATCH_MATCH 017 15 2 0 252 0 2 22 18 252 0 1 0 18 252 0 1 0 18 252 0 1 0 2 18 252 1 0 252 1
eye 11 9 GEEN_MATCH_MATCH 017 15 3 0 174 0 0 18 14 430 0 2 14 18 430 0 2 14 18 430 0 2 14 2 18 890 4 0 890 4
eye 11 9 GEEN_MATCH_MATCH 017 15 4 0 122 0 1 18 22 1824 0 8 148 18 1290 0 6 88 14 122 0 1 0 1 22 1202 6 0 1202 6
eye 11 9 GEEN_MATCH_MATCH 017 15 5 0 134 0 0 18 72 588 0 2 72 20 588 0 2 72 20 588 0 2 72 2 20 516 2 0 516 2
eye 11 9 GEEN_MATCH_MATCH 017 15 6 0 198 0 0 20 16 486 0 2 16 18 486 0 2 16 18 486 0 2 16 2 18 470 2 0 470 2
eye 11 9 GEEN_MATCH_MATCH 017 15 8 0 218 0 0 18 18 552 0 2 18 24 552 0 2 18 24 552 0 2 18 2 24 534 2 0 534 2
eye 11 9 GEEN_MATCH_MATCH 017 15 9 0 280 0 0 24 44 1148 0 4 124 64 770 0 3 60 64 770 0 3 60 1 64 710 3 0 710 3
eye 11 9 GEEN_MIS_MIS 032 16 1 0 242 0 0 0 18 792 0 3 36 20 792 0 3 36 20 792 0 3 36 2 20 756 3 0 756 3
eye 11 9 GEEN_MIS_MIS 032 16 2 0 272 0 2 20 18 272 0 1 0 18 272 0 1 0 18 272 0 1 0 2 18 272 1 0 272 1
eye 11 9 GEEN_MIS_MIS 032 16 3 0 214 0 0 18 18 548 0 2 18 26 548 0 2 18 26 548 0 2 18 2 26 754 3 0 754 3
eye 11 9 GEEN_MIS_MIS 032 16 4 0 452 0 0 26 14 1654 2 7 230 62 1390 2 6 190 62 542 2 2 14 1 18 1200 6 2 864 4
eye 11 9 GEEN_MIS_MIS 032 16 5 0 342 0 0 62 20 614 0 2 20 20 614 0 2 20 20 614 0 2 20 2 20 656 3 0 656 3
eye 11 9 GEEN_MIS_MIS 032 16 6 0 214 0 2 20 18 214 0 1 0 18 214 0 1 0 18 214 0 1 0 2 18 214 1 0 214 1
eye 11 9 GEEN_MIS_MIS 032 16 8 0 170 0 0 18 16 866 0 4 58 24 866 0 4 58 24 866 0 4 58 2 24 808 4 0 808 4
eye 11 9 GEEN_MIS_MIS 032 16 9 0 338 0 1 24 62 462 0 2 62 62 338 0 1 0 62 338 0 1 0 1 62 338 1 0 338 1
eye 11 9 EEN_MIS_MIS 020 17 1 0 90 0 0 0 10 450 0 3 24 20 450 0 3 24 20 450 0 3 24 2 20 910 6 0 910 6
eye 11 9 EEN_MIS_MIS 020 17 2 0 200 0 2 20 16 200 0 1 0 16 200 0 1 0 16 200 0 1 0 2 16 378 2 0 378 2
eye 11 9 EEN_MIS_MIS 020 17 3 0 182 0 0 16 20 654 6 3 20 170 654 6 3 20 170 654 6 3 20 2 170 956 5 2 504 3
eye 11 9 EEN_MIS_MIS 020 17 5 0 394 1 0 170 12 1162 1 4 88 22 1162 1 4 88 22 1162 1 4 88 2 22 1570 7 1 1176 6
eye 11 9 EEN_MIS_MIS 020 17 6 0 278 0 2 22 18 278 0 1 0 18 278 0 1 0 18 278 0 1 0 2 18 570 2 0 570 2
eye 11 9 EEN_MIS_MIS 020 17 8 0 176 0 0 18 16 456 0 2 16 24 456 0 2 16 24 456 0 2 16 2 24 630 3 0 630 3
eye 11 9 EEN_MIS_MIS 020 17 9 0 240 0 1 24 52 2832 0 13 332 48 538 0 2 0 52 240 0 1 0 1 52 538 2 0 538 2
eye 11 9 GEEN_MATCH_MIS 007 18 1 0 266 0 0 0 16 498 0 2 16 18 498 0 2 16 18 498 0 2 16 2 18 482 2 0 482 2
eye 11 9 GEEN_MATCH_MIS 007 18 2 0 28 0 0 18 16 286 0 2 16 20 286 0 2 16 20 286 0 2 16 2 20 270 2 0 270 2
eye 11 9 GEEN_MATCH_MIS 007 18 3 0 252 0 2 20 24 252 0 1 0 24 252 0 1 0 24 252 0 1 0 2 24 252 1 0 252 1
eye 11 9 GEEN_MATCH_MIS 007 18 4 0 378 0 2 24 24 378 0 1 0 24 378 0 1 0 24 378 0 1 0 2 24 378 1 0 378 1
eye 11 9 GEEN_MATCH_MIS 007 18 5 0 210 0 0 24 12 1996 0 8 294 22 1996 0 8 294 48 1996 0 8 294 2 22 1702 8 0 1702 8
eye 11 9 GEEN_MATCH_MIS 007 18 6 0 276 0 0 22 16 564 0 2 16 16 564 0 2 16 16 564 0 2 16 2 16 646 3 0 646 3
eye 11 9 GEEN_MATCH_MIS 007 18 8 0 258 0 0 16 18 724 0 3 36 28 724 0 3 36 28 724 0 3 36 2 28 688 3 0 688 3
eye 11 9 GEEN_MATCH_MIS 007 18 9 0 258 0 0 28 18 582 0 3 62 44 440 0 2 18 44 440 0 2 18 1 44 422 2 0 422 2
eye 11 9 EEN_MATCH_MIS 003 19 1 0 260 0 0 0 18 628 0 2 18 20 628 0 2 18 20 628 0 2 18 2 20 610 2 0 610 2
eye 11 9 EEN_MATCH_MIS 003 19 2 0 336 0 2 20 20 336 0 1 0 20 336 0 1 0 20 336 0 1 0 2 20 336 1 0 336 1
eye 11 9 EEN_MATCH_MIS 003 19 3 0 188 0 0 20 16 568 0 2 16 32 568 0 2 16 32 568 0 2 16 2 32 552 2 0 552 2
eye 11 9 EEN_MATCH_MIS 003 19 4 0 464 0 0 32 16 2008 0 5 110 22 2008 0 5 110 22 2008 0 5 110 2 22 2142 6 0 2142 6
eye 11 9 EEN_MATCH_MIS 003 19 5 0 224 0 0 22 10 804 0 3 32 22 804 0 3 32 22 804 0 3 32 2 22 772 3 0 772 3
eye 11 9 EEN_MATCH_MIS 003 19 6 0 670 0 2 22 18 670 0 1 0 18 670 0 1 0 18 670 0 1 0 2 18 858 2 0 858 2
eye 11 9 EEN_MATCH_MIS 003 19 8 0 476 0 0 18 18 1732 0 7 102 16 1510 0 6 68 20 724 0 3 38 1 16 1442 6 0 1442 6
eye 11 9 EEN_MATCH_MIS 003 19 9 0 270 0 0 16 14 894 0 3 80 66 584 0 2 14 66 584 0 2 14 1 66 570 2 0 570 2
eye 11 9 GEEN_MIS_MATCH 022 20 1 0 454 0 2 0 20 454 0 1 0 20 454 0 1 0 20 454 0 1 0 2 20 454 1 0 454 1
eye 11 9 GEEN_MIS_MATCH 022 20 2 0 210 0 2 20 138 210 0 1 0 138 210 0 1 0 138 210 0 1 0 2 138 210 1 0 210 1
eye 11 9 GEEN_MIS_MATCH 022 20 3 0 104 2 0 138 148 950 2 3 168 20 950 2 3 168 20 950 2 3 168 2 20 782 3 2 374 1
eye 11 9 GEEN_MIS_MATCH 022 20 4 0 220 0 0 20 20 752 0 3 40 22 752 0 3 40 22 752 0 3 40 2 22 712 3 0 712 3
eye 11 9 GEEN_MIS_MATCH 022 20 5 0 166 0 0 22 62 928 0 2 62 22 928 0 2 62 22 928 0 2 62 2 22 866 2 0 866 2
eye 11 9 GEEN_MIS_MATCH 022 20 6 0 218 0 0 22 16 396 0 2 16 18 396 0 2 16 18 396 0 2 16 2 18 380 2 0 380 2
eye 11 9 GEEN_MIS_MATCH 022 20 8 0 184 0 2 18 26 184 0 1 0 26 184 0 1 0 26 184 0 1 0 2 26 184 1 0 184 1
eye 11 9 GEEN_MIS_MATCH 022 20 9 0 216 0 0 26 32 632 0 3 48 0 632 0 3 48 16 632 0 3 48 2 0 584 3 0 584 3
eye 11 9 EEN_MIS_MIS 012 21 1 0 246 0 0 0 16 528 0 2 16 24 528 0 2 16 24 528 0 2 16 2 24 934 3 0 934 3
eye 11 9 EEN_MIS_MIS 012 21 2 0 212 0 0 24 14 548 0 2 14 20 548 0 2 14 20 548 0 2 14 2 20 742 3 0 742 3
eye 11 9 EEN_MIS_MIS 012 21 3 0 270 0 2 20 18 270 0 1 0 18 270 0 1 0 18 270 0 1 0 2 18 532 2 0 532 2
eye 11 9 EEN_MIS_MIS 012 21 4 0 244 0 0 18 16 1010 0 4 58 28 1010 0 4 58 28 1010 0 4 58 2 28 1734 7 0 1734 7
eye 11 9 EEN_MIS_MIS 012 21 5 0 908 0 0 28 70 1700 0 4 102 18 1700 0 4 102 18 1700 0 4 102 2 18 2406 8 0 2406 8
eye 11 9 EEN_MIS_MIS 012 21 6 0 252 0 0 18 14 510 0 2 14 18 510 0 2 14 18 510 0 2 14 2 18 678 3 0 678 3
eye 11 9 EEN_MIS_MIS 012 21 8 0 236 0 0 18 26 574 0 2 26 22 574 0 2 26 22 574 0 2 26 2 22 894 4 0 894 4
eye 11 9 EEN_MIS_MIS 012 21 9 0 272 0 0 22 24 5602 2 20 620 0 2212 2 7 240 64 1670 2 4 196 1 64 1972 7 2 1206 5
eye 11 9 GEEN_MATCH_MATCH 009 22 1 0 418 0 2 0 24 418 0 1 0 24 418 0 1 0 24 418 0 1 0 2 24 418 1 0 418 1
eye 11 9 GEEN_MATCH_MATCH 009 22 2 0 210 0 2 24 18 210 0 1 0 18 210 0 1 0 18 210 0 1 0 2 18 210 1 0 210 1
eye 11 9 GEEN_MATCH_MATCH 009 22 3 0 240 0 0 18 14 718 6 4 52 188 718 6 4 52 188 718 6 4 52 2 188 1122 6 1 1044 5
eye 11 9 GEEN_MATCH_MATCH 009 22 4 0 218 1 0 188 24 800 1 3 46 60 800 1 3 46 60 800 1 3 46 2 60 1362 6 1 1144 5
eye 11 9 GEEN_MATCH_MATCH 009 22 5 0 148 0 0 60 14 1498 0 6 180 16 1176 0 5 50 16 398 0 2 14 1 66 1126 5 0 1126 5
eye 11 9 GEEN_MATCH_MATCH 009 22 6 0 232 0 2 16 20 232 0 1 0 20 232 0 1 0 20 232 0 1 0 2 20 232 1 0 232 1
eye 11 9 GEEN_MATCH_MATCH 009 22 8 0 300 0 0 20 18 870 0 3 40 20 870 0 3 40 20 870 0 3 40 2 20 830 3 0 830 3
